date,isOffensive
2/24/2022,TRUE
2/25/2022,TRUE
2/26/2022,TRUE
2/27/2022,TRUE
2/28/2022,TRUE
3/1/2022,TRUE
3/2/2022,TRUE
3/3/2022,TRUE
3/4/2022,TRUE
3/5/2022,TRUE
3/6/2022,TRUE
3/7/2022,TRUE
3/8/2022,TRUE
3/9/2022,TRUE
3/10/2022,TRUE
3/11/2022,TRUE
3/12/2022,TRUE
3/13/2022,TRUE
3/14/2022,TRUE
3/15/2022,TRUE
3/16/2022,TRUE
3/17/2022,TRUE
3/18/2022,TRUE
3/19/2022,TRUE
3/20/2022,TRUE
3/21/2022,TRUE
3/22/2022,TRUE
3/23/2022,TRUE
3/24/2022,TRUE
3/25/2022,TRUE
3/26/2022,TRUE
3/27/2022,TRUE
3/28/2022,TRUE
3/29/2022,TRUE
3/30/2022,TRUE
3/31/2022,TRUE
4/1/2022,TRUE
4/2/2022,TRUE
4/3/2022,TRUE
4/4/2022,TRUE
4/5/2022,TRUE
4/6/2022,TRUE
4/7/2022,TRUE
4/8/2022,TRUE
8/29/2022,TRUE
8/30/2022,TRUE
8/31/2022,TRUE
9/1/2022,TRUE
9/2/2022,TRUE
9/3/2022,TRUE
9/4/2022,TRUE
9/5/2022,TRUE
9/6/2022,TRUE
9/7/2022,TRUE
9/8/2022,TRUE
9/9/2022,TRUE
9/10/2022,TRUE
9/11/2022,TRUE
9/12/2022,TRUE
9/13/2022,TRUE
9/14/2022,TRUE
9/15/2022,TRUE
9/16/2022,TRUE
9/17/2022,TRUE
9/18/2022,TRUE
9/19/2022,TRUE
9/20/2022,TRUE
9/21/2022,TRUE
9/22/2022,TRUE
9/23/2022,TRUE
9/24/2022,TRUE
9/25/2022,TRUE
9/26/2022,TRUE
9/27/2022,TRUE
9/28/2022,TRUE
9/29/2022,TRUE
9/30/2022,TRUE
10/1/2022,TRUE
10/2/2022,TRUE
10/3/2022,TRUE
10/4/2022,TRUE
10/5/2022,TRUE
10/6/2022,TRUE
10/7/2022,TRUE
10/8/2022,TRUE
10/9/2022,TRUE
10/10/2022,TRUE
10/11/2022,TRUE
10/12/2022,TRUE
10/13/2022,TRUE
10/14/2022,TRUE
10/15/2022,TRUE
10/16/2022,TRUE
10/17/2022,TRUE
10/18/2022,TRUE
10/19/2022,TRUE
10/20/2022,TRUE
10/21/2022,TRUE
10/22/2022,TRUE
10/23/2022,TRUE
10/24/2022,TRUE
10/25/2022,TRUE
10/26/2022,TRUE
10/27/2022,TRUE
10/28/2022,TRUE
10/29/2022,TRUE
10/30/2022,TRUE
10/31/2022,TRUE
11/1/2022,TRUE
11/2/2022,TRUE
11/3/2022,TRUE
11/4/2022,TRUE
11/5/2022,TRUE
11/6/2022,TRUE
11/7/2022,TRUE
11/8/2022,TRUE
11/9/2022,TRUE
11/10/2022,TRUE
11/11/2022,TRUE
