"threshold_sd","threshold_days","moving_average_days","majorLossThresh","aic"
2,3,8,1,-177.773687151337
2.1,3,8,1,-231.208662389726
2.2,3,8,1,-414.519347669698
2.3,3,8,1,-600.882284755617
2.4,3,8,1,-1212.89947338846
2.5,3,8,1,Inf
2.6,3,8,1,Inf
2.7,3,8,1,Inf
2.8,3,8,1,Inf
2.9,3,8,1,Inf
3,3,8,1,Inf
3.1,3,8,1,Inf
3.2,3,8,1,Inf
3.3,3,8,1,Inf
3.4,3,8,1,Inf
3.5,3,8,1,Inf
3.6,3,8,1,Inf
3.7,3,8,1,Inf
3.8,3,8,1,Inf
3.9,3,8,1,Inf
4,3,8,1,Inf
2,4,8,1,-176.435997072922
2.1,4,8,1,-229.23885854628
2.2,4,8,1,-411.466620216825
2.3,4,8,1,-594.500872341759
2.4,4,8,1,-1208.77506088528
2.5,4,8,1,Inf
2.6,4,8,1,Inf
2.7,4,8,1,Inf
2.8,4,8,1,Inf
2.9,4,8,1,Inf
3,4,8,1,Inf
3.1,4,8,1,Inf
3.2,4,8,1,Inf
3.3,4,8,1,Inf
3.4,4,8,1,Inf
3.5,4,8,1,Inf
3.6,4,8,1,Inf
3.7,4,8,1,Inf
3.8,4,8,1,Inf
3.9,4,8,1,Inf
4,4,8,1,Inf
2,5,8,1,-172.839647549175
2.1,5,8,1,-225.624624973146
2.2,5,8,1,-408.210623984509
2.3,5,8,1,-589.984426475638
2.4,5,8,1,-1204.65322572175
2.5,5,8,1,Inf
2.6,5,8,1,Inf
2.7,5,8,1,Inf
2.8,5,8,1,Inf
2.9,5,8,1,Inf
3,5,8,1,Inf
3.1,5,8,1,Inf
3.2,5,8,1,Inf
3.3,5,8,1,Inf
3.4,5,8,1,Inf
3.5,5,8,1,Inf
3.6,5,8,1,Inf
3.7,5,8,1,Inf
3.8,5,8,1,Inf
3.9,5,8,1,Inf
4,5,8,1,Inf
2,6,8,1,-170.416327422746
2.1,6,8,1,-222.686179630176
2.2,6,8,1,-405.643297272034
2.3,6,8,1,-586.526315407308
2.4,6,8,1,-1201.84557101029
2.5,6,8,1,Inf
2.6,6,8,1,Inf
2.7,6,8,1,Inf
2.8,6,8,1,Inf
2.9,6,8,1,Inf
3,6,8,1,Inf
3.1,6,8,1,Inf
3.2,6,8,1,Inf
3.3,6,8,1,Inf
3.4,6,8,1,Inf
3.5,6,8,1,Inf
3.6,6,8,1,Inf
3.7,6,8,1,Inf
3.8,6,8,1,Inf
3.9,6,8,1,Inf
4,6,8,1,Inf
2,7,8,1,-173.618336999646
2.1,7,8,1,-221.676305921449
2.2,7,8,1,-404.319325952091
2.3,7,8,1,-584.079643959458
2.4,7,8,1,-1197.40568614188
2.5,7,8,1,Inf
2.6,7,8,1,Inf
2.7,7,8,1,Inf
2.8,7,8,1,Inf
2.9,7,8,1,Inf
3,7,8,1,Inf
3.1,7,8,1,Inf
3.2,7,8,1,Inf
3.3,7,8,1,Inf
3.4,7,8,1,Inf
3.5,7,8,1,Inf
3.6,7,8,1,Inf
3.7,7,8,1,Inf
3.8,7,8,1,Inf
3.9,7,8,1,Inf
4,7,8,1,Inf
2,3,9,1,-205.907468547122
2.1,3,9,1,-293.625955858967
2.2,3,9,1,-293.483062283855
2.3,3,9,1,-521.739198623996
2.4,3,9,1,-598.171069019036
2.5,3,9,1,-1220.84559976609
2.6,3,9,1,Inf
2.7,3,9,1,Inf
2.8,3,9,1,Inf
2.9,3,9,1,Inf
3,3,9,1,Inf
3.1,3,9,1,Inf
3.2,3,9,1,Inf
3.3,3,9,1,Inf
3.4,3,9,1,Inf
3.5,3,9,1,Inf
3.6,3,9,1,Inf
3.7,3,9,1,Inf
3.8,3,9,1,Inf
3.9,3,9,1,Inf
4,3,9,1,Inf
2,4,9,1,-199.710273785398
2.1,4,9,1,-291.90237749833
2.2,4,9,1,-292.634494017384
2.3,4,9,1,-518.168036168259
2.4,4,9,1,-591.349406491779
2.5,4,9,1,-1214.70759735066
2.6,4,9,1,Inf
2.7,4,9,1,Inf
2.8,4,9,1,Inf
2.9,4,9,1,Inf
3,4,9,1,Inf
3.1,4,9,1,Inf
3.2,4,9,1,Inf
3.3,4,9,1,Inf
3.4,4,9,1,Inf
3.5,4,9,1,Inf
3.6,4,9,1,Inf
3.7,4,9,1,Inf
3.8,4,9,1,Inf
3.9,4,9,1,Inf
4,4,9,1,Inf
2,5,9,1,-200.698252114896
2.1,5,9,1,-289.239331971706
2.2,5,9,1,-288.807675817995
2.3,5,9,1,-514.674761144421
2.4,5,9,1,-586.747128009089
2.5,5,9,1,-1209.25038933066
2.6,5,9,1,Inf
2.7,5,9,1,Inf
2.8,5,9,1,Inf
2.9,5,9,1,Inf
3,5,9,1,Inf
3.1,5,9,1,Inf
3.2,5,9,1,Inf
3.3,5,9,1,Inf
3.4,5,9,1,Inf
3.5,5,9,1,Inf
3.6,5,9,1,Inf
3.7,5,9,1,Inf
3.8,5,9,1,Inf
3.9,5,9,1,Inf
4,5,9,1,Inf
2,6,9,1,-194.496524384124
2.1,6,9,1,-284.810892597149
2.2,6,9,1,-283.659278910852
2.3,6,9,1,-510.7885378731
2.4,6,9,1,-582.658253237765
2.5,6,9,1,-1204.35448292126
2.6,6,9,1,Inf
2.7,6,9,1,Inf
2.8,6,9,1,Inf
2.9,6,9,1,Inf
3,6,9,1,Inf
3.1,6,9,1,Inf
3.2,6,9,1,Inf
3.3,6,9,1,Inf
3.4,6,9,1,Inf
3.5,6,9,1,Inf
3.6,6,9,1,Inf
3.7,6,9,1,Inf
3.8,6,9,1,Inf
3.9,6,9,1,Inf
4,6,9,1,Inf
2,7,9,1,-192.956016192164
2.1,7,9,1,-283.208232856828
2.2,7,9,1,-282.059137567846
2.3,7,9,1,-508.116548871815
2.4,7,9,1,-579.100221832955
2.5,7,9,1,-1201.77232796886
2.6,7,9,1,Inf
2.7,7,9,1,Inf
2.8,7,9,1,Inf
2.9,7,9,1,Inf
3,7,9,1,Inf
3.1,7,9,1,Inf
3.2,7,9,1,Inf
3.3,7,9,1,Inf
3.4,7,9,1,Inf
3.5,7,9,1,Inf
3.6,7,9,1,Inf
3.7,7,9,1,Inf
3.8,7,9,1,Inf
3.9,7,9,1,Inf
4,7,9,1,Inf
2,8,9,1,-191.409513363591
2.1,8,9,1,-282.938362900405
2.2,8,9,1,-281.268800891232
2.3,8,9,1,-506.994101770662
2.4,8,9,1,-576.202977517872
2.5,8,9,1,-1195.64733833804
2.6,8,9,1,Inf
2.7,8,9,1,Inf
2.8,8,9,1,Inf
2.9,8,9,1,Inf
3,8,9,1,Inf
3.1,8,9,1,Inf
3.2,8,9,1,Inf
3.3,8,9,1,Inf
3.4,8,9,1,Inf
3.5,8,9,1,Inf
3.6,8,9,1,Inf
3.7,8,9,1,Inf
3.8,8,9,1,Inf
3.9,8,9,1,Inf
4,8,9,1,Inf
2,3,10,1,-198.702057998982
2.1,3,10,1,-328.344972152527
2.2,3,10,1,-411.926571333196
2.3,3,10,1,-457.648785217421
2.4,3,10,1,-457.648785217421
2.5,3,10,1,-937.409158458563
2.6,3,10,1,-939.050891031453
2.7,3,10,1,Inf
2.8,3,10,1,Inf
2.9,3,10,1,Inf
3,3,10,1,Inf
3.1,3,10,1,Inf
3.2,3,10,1,Inf
3.3,3,10,1,Inf
3.4,3,10,1,Inf
3.5,3,10,1,Inf
3.6,3,10,1,Inf
3.7,3,10,1,Inf
3.8,3,10,1,Inf
3.9,3,10,1,Inf
4,3,10,1,Inf
2,4,10,1,-195.116744611918
2.1,4,10,1,-322.757942538809
2.2,4,10,1,-406.797459620902
2.3,4,10,1,-456.72085300656
2.4,4,10,1,-454.317915839452
2.5,4,10,1,-941.921177307449
2.6,4,10,1,-942.720161512391
2.7,4,10,1,Inf
2.8,4,10,1,Inf
2.9,4,10,1,Inf
3,4,10,1,Inf
3.1,4,10,1,Inf
3.2,4,10,1,Inf
3.3,4,10,1,Inf
3.4,4,10,1,Inf
3.5,4,10,1,Inf
3.6,4,10,1,Inf
3.7,4,10,1,Inf
3.8,4,10,1,Inf
3.9,4,10,1,Inf
4,4,10,1,Inf
2,5,10,1,-193.639830828259
2.1,5,10,1,-319.894699824984
2.2,5,10,1,-403.891226634782
2.3,5,10,1,-452.970744145788
2.4,5,10,1,-452.672586372905
2.5,5,10,1,-940.00964828714
2.6,5,10,1,-937.615317982174
2.7,5,10,1,Inf
2.8,5,10,1,Inf
2.9,5,10,1,Inf
3,5,10,1,Inf
3.1,5,10,1,Inf
3.2,5,10,1,Inf
3.3,5,10,1,Inf
3.4,5,10,1,Inf
3.5,5,10,1,Inf
3.6,5,10,1,Inf
3.7,5,10,1,Inf
3.8,5,10,1,Inf
3.9,5,10,1,Inf
4,5,10,1,Inf
2,6,10,1,-192.165518148831
2.1,6,10,1,-316.629334353713
2.2,6,10,1,-404.054910518062
2.3,6,10,1,-451.33238144278
2.4,6,10,1,-451.23627130935
2.5,6,10,1,-935.343762423169
2.6,6,10,1,-932.857765912988
2.7,6,10,1,Inf
2.8,6,10,1,Inf
2.9,6,10,1,Inf
3,6,10,1,Inf
3.1,6,10,1,Inf
3.2,6,10,1,Inf
3.3,6,10,1,Inf
3.4,6,10,1,Inf
3.5,6,10,1,Inf
3.6,6,10,1,Inf
3.7,6,10,1,Inf
3.8,6,10,1,Inf
3.9,6,10,1,Inf
4,6,10,1,Inf
2,7,10,1,-193.568839608812
2.1,7,10,1,-315.433259937295
2.2,7,10,1,-398.849106867551
2.3,7,10,1,-450.283608985906
2.4,7,10,1,-450.531693669214
2.5,7,10,1,-934.393804101462
2.6,7,10,1,-929.819500945113
2.7,7,10,1,Inf
2.8,7,10,1,Inf
2.9,7,10,1,Inf
3,7,10,1,Inf
3.1,7,10,1,Inf
3.2,7,10,1,Inf
3.3,7,10,1,Inf
3.4,7,10,1,Inf
3.5,7,10,1,Inf
3.6,7,10,1,Inf
3.7,7,10,1,Inf
3.8,7,10,1,Inf
3.9,7,10,1,Inf
4,7,10,1,Inf
2,8,10,1,-190.43000303381
2.1,8,10,1,-313.819091569168
2.2,8,10,1,-396.819922073005
2.3,8,10,1,-448.72349086566
2.4,8,10,1,-448.80322498956
2.5,8,10,1,-929.430090467254
2.6,8,10,1,-924.855186532874
2.7,8,10,1,Inf
2.8,8,10,1,Inf
2.9,8,10,1,Inf
3,8,10,1,Inf
3.1,8,10,1,Inf
3.2,8,10,1,Inf
3.3,8,10,1,Inf
3.4,8,10,1,Inf
3.5,8,10,1,Inf
3.6,8,10,1,Inf
3.7,8,10,1,Inf
3.8,8,10,1,Inf
3.9,8,10,1,Inf
4,8,10,1,Inf
2,9,10,1,-189.647122698153
2.1,9,10,1,-312.588983493859
2.2,9,10,1,-394.651827452831
2.3,9,10,1,-447.23867110814
2.4,9,10,1,-447.305038702311
2.5,9,10,1,-924.758834463584
2.6,9,10,1,-920.494462803929
2.7,9,10,1,Inf
2.8,9,10,1,Inf
2.9,9,10,1,Inf
3,9,10,1,Inf
3.1,9,10,1,Inf
3.2,9,10,1,Inf
3.3,9,10,1,Inf
3.4,9,10,1,Inf
3.5,9,10,1,Inf
3.6,9,10,1,Inf
3.7,9,10,1,Inf
3.8,9,10,1,Inf
3.9,9,10,1,Inf
4,9,10,1,Inf
2,3,11,1,-126.52289722181
2.1,3,11,1,-222.686179630176
2.2,3,11,1,-322.810425819419
2.3,3,11,1,-410.487374119665
2.4,3,11,1,-517.499972825171
2.5,3,11,1,-583.322308594373
2.6,3,11,1,-934.155793516672
2.7,3,11,1,-1207.34855990439
2.8,3,11,1,-1208.93824866288
2.9,3,11,1,Inf
3,3,11,1,Inf
3.1,3,11,1,Inf
3.2,3,11,1,Inf
3.3,3,11,1,Inf
3.4,3,11,1,Inf
3.5,3,11,1,Inf
3.6,3,11,1,Inf
3.7,3,11,1,Inf
3.8,3,11,1,Inf
3.9,3,11,1,Inf
4,3,11,1,Inf
2,4,11,1,-122.597070736279
2.1,4,11,1,-221.135060316143
2.2,4,11,1,-319.05291603268
2.3,4,11,1,-405.414372995089
2.4,4,11,1,-513.359499551347
2.5,4,11,1,-580.815168249501
2.6,4,11,1,-930.559561483868
2.7,4,11,1,-1201.79033733239
2.8,4,11,1,-1203.18766707622
2.9,4,11,1,Inf
3,4,11,1,Inf
3.1,4,11,1,Inf
3.2,4,11,1,Inf
3.3,4,11,1,Inf
3.4,4,11,1,Inf
3.5,4,11,1,Inf
3.6,4,11,1,Inf
3.7,4,11,1,Inf
3.8,4,11,1,Inf
3.9,4,11,1,Inf
4,4,11,1,Inf
2,5,11,1,-120.735813115644
2.1,5,11,1,-219.5865415797
2.2,5,11,1,-317.241784969292
2.3,5,11,1,-401.691144875153
2.4,5,11,1,-509.966847148926
2.5,5,11,1,-578.310625759839
2.6,5,11,1,-927.138655846242
2.7,5,11,1,-1196.69101290205
2.8,5,11,1,-1197.91328054044
2.9,5,11,1,Inf
3,5,11,1,Inf
3.1,5,11,1,Inf
3.2,5,11,1,Inf
3.3,5,11,1,Inf
3.4,5,11,1,Inf
3.5,5,11,1,Inf
3.6,5,11,1,Inf
3.7,5,11,1,Inf
3.8,5,11,1,Inf
3.9,5,11,1,Inf
4,5,11,1,Inf
2,6,11,1,-119.458607811341
2.1,6,11,1,-218.04063021037
2.2,6,11,1,-315.433259937295
2.3,6,11,1,-400.780234822689
2.4,6,11,1,-506.994101770662
2.5,6,11,1,-575.808687893033
