"threshold_sd","threshold_days","moving_average_days","bic"
2,7,25,-227.793893194439
2.1,7,25,-263.561500712025
2.2,7,25,-298.560176614831
2.3,7,25,-334.734288719223
2.4,7,25,-334.734288719223
2.5,7,25,-430.372135221393
2.6,7,25,-484.945062749354
2.7,7,25,-486.540001824497
2.8,7,25,-556.447079653518
2.9,7,25,-633.366446514802
3,7,25,-635.770597711885
3.1,7,25,-637.169106172011
3.2,7,25,-734.73545804464
3.3,7,25,-1159.80401153909
3.4,7,25,-1159.80401153909
3.5,7,25,Inf
3.6,7,25,Inf
3.7,7,25,Inf
3.8,7,25,Inf
3.9,7,25,Inf
4,7,25,Inf
2,8,25,-230.097617653905
2.1,8,25,-261.86944238728
2.2,8,25,-296.772730149253
2.3,8,25,-331.914465394504
2.4,8,25,-331.914465394504
2.5,8,25,-426.929564195026
2.6,8,25,-481.832863699649
2.7,8,25,-483.122180016195
2.8,8,25,-552.582341007289
2.9,8,25,-628.90770466431
3,8,25,-630.840592215894
3.1,8,25,-631.991046190324
3.2,8,25,-730.29302816452
3.3,8,25,-1155.71361986659
3.4,8,25,-1155.71361986659
3.5,8,25,Inf
3.6,8,25,Inf
3.7,8,25,Inf
3.8,8,25,Inf
3.9,8,25,Inf
4,8,25,Inf
2,9,25,-225.636472183798
2.1,9,25,-256.874543475428
2.2,9,25,-291.246023715208
2.3,9,25,-333.57758462557
2.4,9,25,-333.57758462557
2.5,9,25,-423.866250764966
2.6,9,25,-479.87571589182
2.7,9,25,-476.23296200101
2.8,9,25,-549.143992846514
2.9,9,25,-625.175363944736
3,9,25,-626.80806319235
3.1,9,25,-627.911159249225
3.2,9,25,-730.84134404696
3.3,9,25,-1151.62589480763
3.4,9,25,-1151.62589480763
3.5,9,25,Inf
3.6,9,25,Inf
3.7,9,25,Inf
3.8,9,25,Inf
3.9,9,25,Inf
4,9,25,Inf
2,10,25,-223.615457040071
2.1,10,25,-254.813253043841
2.2,10,25,-293.205850056161
2.3,10,25,-328.996223703728
2.4,10,25,-331.690050995768
2.5,10,25,-421.053483938682
2.6,10,25,-477.32385013123
2.7,10,25,-473.75224813354
2.8,10,25,-545.978556505228
2.9,10,25,-621.683700449042
3,10,25,-623.049169369554
3.1,10,25,-623.832059580959
3.2,10,25,-727.58213306078
3.3,10,25,-1147.54084349191
3.4,10,25,-1147.54084349191
3.5,10,25,Inf
3.6,10,25,Inf
3.7,10,25,Inf
3.8,10,25,Inf
3.9,10,25,Inf
4,10,25,Inf
2,11,25,-225.298779790595
2.1,11,25,-256.809309992501
2.2,11,25,-291.426430758232
2.3,11,25,-326.485477659324
2.4,11,25,-329.805199870548
2.5,11,25,-418.352372965503
2.6,11,25,-474.788320602565
2.7,11,25,-467.546520496713
2.8,11,25,-542.925281206488
2.9,11,25,-622.455141112808
3,11,25,-619.332305677126
3.1,11,25,-623.681042152071
3.2,11,25,-724.198536210811
3.3,11,25,-1143.45847308736
3.4,11,25,-1143.45847308736
3.5,11,25,Inf
3.6,11,25,Inf
3.7,11,25,Inf
3.8,11,25,Inf
3.9,11,25,Inf
4,11,25,Inf
2,12,25,-220.254332092863
2.1,12,25,-255.127970679508
2.2,12,25,-289.649701576744
2.3,12,25,-324.063318362806
2.4,12,25,-324.31966249964
2.5,12,25,-419.619479487971
2.6,12,25,-472.268092153662
2.7,12,25,-465.383169402419
2.8,12,25,-539.96164249093
2.9,12,25,-619.450189451123
3,12,25,-619.801760188631
3.1,12,25,-619.761554519018
3.2,12,25,-724.907043070671
3.3,12,25,-1139.37879080043
3.4,12,25,-1139.37879080043
3.5,12,25,Inf
3.6,12,25,Inf
3.7,12,25,Inf
3.8,12,25,Inf
3.9,12,25,Inf
4,12,25,Inf
2,13,25,-219.209883807336
2.1,13,25,-250.882467869929
2.2,13,25,-284.4103681372
