"threshold_sd","threshold_days","moving_average_days","majorLossThresh","bic"
2,3,8,1,-165.882949120482
2.1,3,8,1,-211.390765671634
2.2,3,8,1,-390.737871607987
2.3,3,8,1,-585.027967381143
2.4,3,8,1,-1204.97231470123
2.5,3,8,1,Inf
2.6,3,8,1,Inf
2.7,3,8,1,Inf
2.8,3,8,1,Inf
2.9,3,8,1,Inf
3,3,8,1,Inf
3.1,3,8,1,Inf
3.2,3,8,1,Inf
3.3,3,8,1,Inf
3.4,3,8,1,Inf
3.5,3,8,1,Inf
3.6,3,8,1,Inf
3.7,3,8,1,Inf
3.8,3,8,1,Inf
3.9,3,8,1,Inf
4,3,8,1,Inf
2,4,8,1,-164.552981054052
2.1,4,8,1,-217.35584252741
2.2,4,8,1,-399.583604197955
2.3,4,8,1,-582.617856322889
2.4,4,8,1,-1200.85305020603
2.5,4,8,1,Inf
2.6,4,8,1,Inf
2.7,4,8,1,Inf
2.8,4,8,1,Inf
2.9,4,8,1,Inf
3,4,8,1,Inf
3.1,4,8,1,Inf
3.2,4,8,1,Inf
3.3,4,8,1,Inf
3.4,4,8,1,Inf
3.5,4,8,1,Inf
3.6,4,8,1,Inf
3.7,4,8,1,Inf
3.8,4,8,1,Inf
3.9,4,8,1,Inf
4,4,8,1,Inf
2,5,8,1,-153.047524084026
2.1,5,8,1,-213.749350894057
2.2,5,8,1,-388.41850051936
2.3,5,8,1,-578.109152396548
2.4,5,8,1,-1196.73637633569
2.5,5,8,1,Inf
2.6,5,8,1,Inf
2.7,5,8,1,Inf
2.8,5,8,1,Inf
2.9,5,8,1,Inf
3,5,8,1,Inf
3.1,5,8,1,Inf
3.2,5,8,1,Inf
3.3,5,8,1,Inf
3.4,5,8,1,Inf
3.5,5,8,1,Inf
3.6,5,8,1,Inf
3.7,5,8,1,Inf
3.8,5,8,1,Inf
3.9,5,8,1,Inf
4,5,8,1,Inf
2,6,8,1,-154.592977944887
2.1,6,8,1,-214.774504891246
2.2,6,8,1,-381.908273055245
2.3,6,8,1,-558.835453821054
2.4,6,8,1,-1189.9780589019
2.5,6,8,1,Inf
2.6,6,8,1,Inf
2.7,6,8,1,Inf
2.8,6,8,1,Inf
2.9,6,8,1,Inf
3,6,8,1,Inf
3.1,6,8,1,Inf
3.2,6,8,1,Inf
3.3,6,8,1,Inf
3.4,6,8,1,Inf
3.5,6,8,1,Inf
3.6,6,8,1,Inf
3.7,6,8,1,Inf
3.8,6,8,1,Inf
3.9,6,8,1,Inf
4,6,8,1,Inf
2,7,8,1,-149.898876993919
2.1,7,8,1,-209.816575918585
2.2,7,8,1,-380.599865946364
2.3,7,8,1,-556.406940619443
2.4,7,8,1,-1185.54595613902
2.5,7,8,1,Inf
2.6,7,8,1,Inf
2.7,7,8,1,Inf
2.8,7,8,1,Inf
2.9,7,8,1,Inf
3,7,8,1,Inf
3.1,7,8,1,Inf
3.2,7,8,1,Inf
3.3,7,8,1,Inf
3.4,7,8,1,Inf
3.5,7,8,1,Inf
3.6,7,8,1,Inf
3.7,7,8,1,Inf
3.8,7,8,1,Inf
3.9,7,8,1,Inf
4,7,8,1,Inf
2,3,9,1,-182.141436509383
2.1,3,9,1,-277.781934500474
2.2,3,9,1,-273.678035585738
2.3,3,9,1,-497.973166586256
2.4,3,9,1,-566.48302630205
2.5,3,9,1,-1201.04057306797
2.6,3,9,1,Inf
2.7,3,9,1,Inf
2.8,3,9,1,Inf
2.9,3,9,1,Inf
3,3,9,1,Inf
3.1,3,9,1,Inf
3.2,3,9,1,Inf
3.3,3,9,1,Inf
3.4,3,9,1,Inf
3.5,3,9,1,Inf
3.6,3,9,1,Inf
3.7,3,9,1,Inf
3.8,3,9,1,Inf
3.9,3,9,1,Inf
4,3,9,1,Inf
2,4,9,1,-187.834999706309
2.1,4,9,1,-280.027103419241
2.2,4,9,1,-280.759219938295
2.3,4,9,1,-506.29276208917
2.4,4,9,1,-563.640433640571
2.5,4,9,1,-1194.91547388551
2.6,4,9,1,Inf
2.7,4,9,1,Inf
2.8,4,9,1,Inf
2.9,4,9,1,Inf
3,4,9,1,Inf
3.1,4,9,1,Inf
3.2,4,9,1,Inf
3.3,4,9,1,Inf
3.4,4,9,1,Inf
3.5,4,9,1,Inf
3.6,4,9,1,Inf
3.7,4,9,1,Inf
3.8,4,9,1,Inf
3.9,4,9,1,Inf
4,4,9,1,Inf
2,5,9,1,-176.963227898107
2.1,5,9,1,-265.504307754917
2.2,5,9,1,-265.072651601206
2.3,5,9,1,-502.807249036026
2.4,5,9,1,-559.056266422835
2.5,5,9,1,-1189.47120248334
2.6,5,9,1,Inf
2.7,5,9,1,Inf
2.8,5,9,1,Inf
2.9,5,9,1,Inf
3,5,9,1,Inf
3.1,5,9,1,Inf
3.2,5,9,1,Inf
3.3,5,9,1,Inf
3.4,5,9,1,Inf
3.5,5,9,1,Inf
3.6,5,9,1,Inf
3.7,5,9,1,Inf
3.8,5,9,1,Inf
3.9,5,9,1,Inf
4,5,9,1,Inf
2,6,9,1,-174.730307712685
2.1,6,9,1,-268.997919259998
2.2,6,9,1,-259.939818905126
2.3,6,9,1,-491.022321201661
2.4,6,9,1,-554.98554989775
2.5,6,9,1,-1184.58826624983
2.6,6,9,1,Inf
2.7,6,9,1,Inf
2.8,6,9,1,Inf
2.9,6,9,1,Inf
3,6,9,1,Inf
3.1,6,9,1,Inf
3.2,6,9,1,Inf
3.3,6,9,1,Inf
3.4,6,9,1,Inf
3.5,6,9,1,Inf
3.6,6,9,1,Inf
3.7,6,9,1,Inf
3.8,6,9,1,Inf
3.9,6,9,1,Inf
4,6,9,1,Inf
2,7,9,1,-165.30151832405
2.1,7,9,1,-259.504377541302
2.2,7,9,1,-254.404639699732
2.3,7,9,1,-484.412693556289
2.4,7,9,1,-567.248294175192
2.5,7,9,1,-1185.96975775851
2.6,7,9,1,Inf
2.7,7,9,1,Inf
2.8,7,9,1,Inf
2.9,7,9,1,Inf
3,7,9,1,Inf
3.1,7,9,1,Inf
3.2,7,9,1,Inf
3.3,7,9,1,Inf
3.4,7,9,1,Inf
3.5,7,9,1,Inf
3.6,7,9,1,Inf
3.7,7,9,1,Inf
3.8,7,9,1,Inf
3.9,7,9,1,Inf
4,7,9,1,Inf
2,8,9,1,-175.617373406868
2.1,8,9,1,-259.250152965322
2.2,8,9,1,-257.580590956148
2.3,8,9,1,-499.098031792301
2.4,8,9,1,-560.410837561149
2.5,8,9,1,-1179.85519838132
2.6,8,9,1,Inf
2.7,8,9,1,Inf
2.8,8,9,1,Inf
2.9,8,9,1,Inf
3,8,9,1,Inf
3.1,8,9,1,Inf
3.2,8,9,1,Inf
3.3,8,9,1,Inf
