date,day,personnel,POW
2/25/2022,2,2800,0
2/26/2022,3,4300,0
2/27/2022,4,4500,0
2/28/2022,5,5300,0
3/1/2022,6,5710,200
3/2/2022,7,5840,200
3/3/2022,8,9000,200
3/4/2022,9,9166,200
3/5/2022,10,10000,216
3/6/2022,11,11000,232
3/7/2022,12,11000,259
3/8/2022,13,12000,284
3/9/2022,14,12000,360
3/10/2022,15,12000,371
3/11/2022,16,12000,389
3/12/2022,17,12000,389
3/13/2022,18,12000,389
3/14/2022,19,12000,389
3/15/2022,20,13500,389
3/16/2022,21,13800,389
3/17/2022,22,14000,405
3/18/2022,23,14200,405
3/19/2022,24,14400,405
3/20/2022,25,14700,405
3/21/2022,26,15000,405
3/22/2022,27,15300,411
3/23/2022,28,15600,412
3/24/2022,29,15800,412
3/25/2022,30,16100,412
3/26/2022,31,16400,412
3/27/2022,32,16600,421
3/28/2022,33,17000,421
3/29/2022,34,17200,430
3/30/2022,35,17300,430
3/31/2022,36,17500,459
4/1/2022,37,17700,459
4/2/2022,38,17800,460
4/3/2022,39,18000,460
4/4/2022,40,18300,460
4/5/2022,41,18500,467
4/6/2022,42,18600,467
4/7/2022,43,18900,467
4/8/2022,44,19000,467
4/9/2022,45,19100,467
4/10/2022,46,19300,467
4/11/2022,47,19500,467
4/12/2022,48,19600,477
4/13/2022,49,19800,477
4/14/2022,50,19900,477
4/15/2022,51,20000,477
4/16/2022,52,20100,477
4/17/2022,53,20300,477
4/18/2022,54,20600,477
4/19/2022,55,20800,489
4/20/2022,56,20900,489
4/21/2022,57,21000,489
4/22/2022,58,21200,489
4/23/2022,59,21600,489
4/24/2022,60,21800,489
4/25/2022,61,21900,489
4/26/2022,62,22100,489
4/27/2022,63,22400,496
4/28/2022,64,22800,
4/29/2022,65,23000,
4/30/2022,66,23200,
5/1/2022,67,23500,
5/2/2022,68,23800,
5/3/2022,69,24200,
5/4/2022,70,24500,
5/5/2022,71,24700,
5/6/2022,72,24900,
5/7/2022,73,25100,
5/8/2022,74,25500,
5/9/2022,75,25650,
5/10/2022,76,26000,
5/11/2022,77,26350,
5/12/2022,78,26650,
5/13/2022,79,26900,
5/14/2022,80,27200,
5/15/2022,81,27400,
5/16/2022,82,27700,
5/17/2022,83,27900,
5/18/2022,84,28300,
5/19/2022,85,28500,
5/20/2022,86,28700,
5/21/2022,87,28850,
5/22/2022,88,29050,
5/23/2022,89,29200,
5/24/2022,90,29350,
5/25/2022,91,29450,
5/26/2022,92,29600,
5/27/2022,93,29750,
5/28/2022,94,30000,
5/29/2022,95,30150,
5/30/2022,96,30350,
5/31/2022,97,30500,
6/1/2022,98,30700,
6/2/2022,99,30850,
6/3/2022,100,30950,
6/4/2022,101,31050,
6/5/2022,102,31150,
6/6/2022,103,31250,
6/7/2022,104,31360,
6/8/2022,105,31500,
6/9/2022,106,31700,
6/10/2022,107,31900,
6/11/2022,108,32050,
6/12/2022,109,32150,
6/13/2022,110,32300,
6/14/2022,111,32500,
6/15/2022,112,32750,
6/16/2022,113,32950,
6/17/2022,114,33150,
6/18/2022,115,33350,
6/19/2022,116,33600,
6/20/2022,117,33800,
6/21/2022,118,34100,
6/22/2022,119,34230,
6/23/2022,120,34430,
6/24/2022,121,34530,
6/25/2022,122,34700,
6/26/2022,123,34850,
6/27/2022,124,35000,
6/28/2022,125,35250,
6/29/2022,126,35450,
6/30/2022,127,35600,
7/1/2022,128,35750,
7/2/2022,129,35870,
7/3/2022,130,35970,
7/4/2022,131,36200,
7/5/2022,132,36350,
7/6/2022,133,36500,
7/7/2022,134,36650,
7/8/2022,135,36900,
7/9/2022,136,37200,
7/10/2022,137,37300,
7/11/2022,138,37400,
7/12/2022,139,37470,
7/13/2022,140,37570,
7/14/2022,141,37870,
7/15/2022,142,38000,
7/16/2022,143,38140,
7/17/2022,144,38300,
7/18/2022,145,38450,
7/19/2022,146,38550,
7/20/2022,147,38750,
7/21/2022,148,38850,
7/22/2022,149,39000,
7/23/2022,150,39240,
7/24/2022,151,39520,
7/25/2022,152,39700,
7/26/2022,153,39870,
7/27/2022,154,40070,
7/28/2022,155,40230,
7/29/2022,156,40500,
7/30/2022,157,40670,
7/31/2022,158,40830,
8/1/2022,159,41030,
8/2/2022,160,41170,
8/3/2022,161,41350,
8/4/2022,162,41500,
8/5/2022,163,41650,
8/6/2022,164,41900,
8/7/2022,165,42200,
8/8/2022,166,42340,
8/9/2022,167,42640,
8/10/2022,168,42800,
8/11/2022,169,43000,
8/12/2022,170,43200,
8/13/2022,171,43400,
8/14/2022,172,43550,
8/15/2022,173,43750,
8/16/2022,174,43900,
8/17/2022,175,44100,
